date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1994-11-04T00:00:00,Milwaukee Bucks,Ed Pinckney,Starter,43.71666666666667,0,2,0.0,0,0,,4,6,0.667,1,9,10,0,1,1,2,3,4,
1994-11-04T00:00:00,Sacramento Kings,Mitch Richmond,Starter,32.53333333333333,7,16,0.43799999999999994,3,6,0.5,3,4,0.75,0,3,3,3,1,0,0,2,20,
1994-11-04T00:00:00,Sacramento Kings,Olden Polynice,Starter,31.516666666666666,5,7,0.7140000000000001,0,0,,3,4,0.75,4,6,10,1,1,0,2,4,13,
1994-11-04T00:00:00,Sacramento Kings,Walt Williams,Starter,30.5,7,15,0.467,1,5,0.2,1,2,0.5,3,6,9,8,2,1,4,4,16,
1994-11-04T00:00:00,Sacramento Kings,Spud Webb,Starter,18.3,5,8,0.625,0,1,0.0,0,0,,1,1,2,2,0,0,3,0,10,
1994-11-04T00:00:00,Sacramento Kings,Duane Causwell,Starter,14.233333333333333,0,2,0.0,0,0,,1,2,0.5,4,3,7,1,0,2,1,6,1,
1994-11-04T00:00:00,Sacramento Kings,Michael Smith,Reserve,28.466666666666665,6,11,0.545,0,0,,2,4,0.5,3,6,9,2,2,0,4,4,14,
1994-11-04T00:00:00,Sacramento Kings,Randy Brown,Reserve,27.45,6,10,0.6,0,1,0.0,0,0,,1,1,2,3,2,0,0,2,12,
1994-11-04T00:00:00,Sacramento Kings,Bobby Hurley,Reserve,23.38333333333333,3,9,0.33299999999999996,1,2,0.5,4,4,1.0,0,2,2,5,1,0,2,3,11,
1994-11-04T00:00:00,Golden State Warriors,Latrell Sprewell,Starter,48.8,8,22,0.364,1,5,0.2,9,13,0.6920000000000001,1,6,7,3,3,1,0,0,26,
1994-11-04T00:00:00,Golden State Warriors,Tim Hardaway,Starter,38.63333333333333,7,16,0.43799999999999994,4,6,0.667,11,11,1.0,0,4,4,8,1,0,7,2,29,
1994-11-04T00:00:00,Miami Heat,Glen Rice,Starter,30.5,8,12,0.667,2,4,0.5,1,1,1.0,0,3,3,1,0,1,1,1,19,
1994-11-04T00:00:00,Orlando Magic,Horace Grant,Starter,40.66666666666666,7,11,0.636,0,0,,6,9,0.667,3,6,9,1,1,0,1,5,20,
1994-11-04T00:00:00,Orlando Magic,Nick Anderson,Starter,40.66666666666666,6,13,0.462,1,3,0.33299999999999996,6,6,1.0,4,3,7,3,1,0,2,1,19,
1994-11-04T00:00:00,Sacramento Kings,Brian Grant,Reserve,18.3,2,5,0.4,0,0,,3,4,0.75,4,6,10,1,0,1,0,5,7,
1994-11-04T00:00:00,Sacramento Kings,Trevor Wilson,Reserve,8.133333333333333,1,3,0.33299999999999996,0,0,,0,0,,1,0,1,0,0,1,0,1,2,
1994-11-04T00:00:00,Sacramento Kings,Henry Turner,Reserve,8.133333333333333,0,4,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,
1994-11-04T00:00:00,Sacramento Kings,Alaa Abdelnaby,Reserve,3.05,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,2,0,
1994-11-04T00:00:00,Golden State Warriors,Ricky Pierce,Starter,32.53333333333333,10,16,0.625,5,8,0.625,2,2,1.0,0,2,2,1,4,0,1,2,27,
1994-11-04T00:00:00,Golden State Warriors,Chris Gatling,Starter,27.45,7,8,0.875,0,0,,2,6,0.33299999999999996,1,6,7,2,0,0,0,4,16,
1994-11-04T00:00:00,Golden State Warriors,Rony Seikaly,Starter,27.45,1,7,0.14300000000000002,0,0,,0,0,,3,3,6,2,0,1,1,2,2,
1994-11-04T00:00:00,Golden State Warriors,Keith Jennings,Reserve,26.43333333333333,2,4,0.5,1,1,1.0,0,0,,1,4,5,1,2,0,0,4,5,
1994-11-04T00:00:00,Golden State Warriors,Victor Alexander,Reserve,21.35,4,6,0.667,0,0,,0,0,,1,2,3,0,0,1,2,4,8,
1994-11-04T00:00:00,Golden State Warriors,David Wood,Reserve,13.216666666666667,3,6,0.5,1,2,0.5,2,2,1.0,0,2,2,1,0,0,0,3,9,
1994-11-04T00:00:00,Golden State Warriors,Rod Higgins,Reserve,5.083333333333333,0,1,0.0,0,0,,1,2,0.5,1,0,1,0,0,0,0,1,1,
1994-11-04T00:00:00,Golden State Warriors,Manute Bol,Reserve,3.05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,
1994-11-04T00:00:00,San Antonio Spurs,Sean Elliott,Starter,45.75,6,11,0.545,3,6,0.5,2,4,0.5,0,3,3,1,2,2,3,3,17,
1994-11-04T00:00:00,Miami Heat,Grant Long,Starter,29.48333333333333,0,2,0.0,0,0,,5,8,0.625,0,5,5,1,1,0,3,5,5,
1994-11-04T00:00:00,Phoenix Suns,Antonio Lang,Reserve,6.1,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,
1994-11-04T00:00:00,Denver Nuggets,Cliff Levingston,Reserve,4.066666666666666,0,2,0.0,0,0,,1,2,0.5,0,2,2,1,1,0,1,1,1,
