date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1980-10-10T00:00:00,Golden State Warriors,Purvis Short,Starter,37.61666666666667,5,17.0,0.294,0,0.0,,0,0,,2.0,4.0,6.0,6.0,3.0,0.0,1.0,2.0,10,
1980-10-10T00:00:00,Philadelphia 76ers,Clint Richardson,,10.166666666666666,0,1.0,0.0,0,0.0,,0,0,,,,1.0,2.0,0.0,0.0,1.0,1.0,0,
1980-10-10T00:00:00,Philadelphia 76ers,Darryl Dawkins,,15.25,3,6.0,0.5,0,0.0,,0,0,,,,5.0,1.0,0.0,3.0,4.0,6.0,6,
1980-10-10T00:00:00,Philadelphia 76ers,Earl Cureton,,4.066666666666666,0,2.0,0.0,0,0.0,,0,0,,,,2.0,0.0,0.0,0.0,1.0,0.0,0,
1980-10-10T00:00:00,New Jersey Nets,Mike Newlin,Starter,28.466666666666665,5,15.0,0.33299999999999996,0,1.0,0.0,5,6,0.833,,,2.0,1.0,,,,2.0,15,
1980-10-10T00:00:00,New Jersey Nets,Jan van Breda Kolff,Starter,20.33333333333333,2,4.0,0.5,0,0.0,,0,0,,,,4.0,0.0,,,,3.0,4,
1980-10-10T00:00:00,New Jersey Nets,Bob Elliott,Starter,15.25,1,4.0,0.25,0,0.0,,0,0,,,,1.0,1.0,,,,3.0,2,
1980-10-10T00:00:00,New Jersey Nets,Mike O'Koren,Reserve,29.48333333333333,4,10.0,0.4,0,1.0,0.0,2,2,1.0,,,4.0,1.0,,,,1.0,10,
1980-10-10T00:00:00,New Jersey Nets,Eddie Jordan,Reserve,25.41666666666667,4,11.0,0.364,0,2.0,0.0,0,0,,,,2.0,3.0,3.0,,5.0,2.0,8,
1980-10-10T00:00:00,New Jersey Nets,Maurice Lucas,Reserve,24.4,2,7.0,0.28600000000000003,0,0.0,,5,9,0.556,,,10.0,2.0,,,,6.0,9,
1980-10-10T00:00:00,New Jersey Nets,Mike Gminski,Reserve,22.36666666666667,4,12.0,0.33299999999999996,0,0.0,,7,8,0.875,,,7.0,0.0,,,,3.0,15,
1980-10-10T00:00:00,New Jersey Nets,Darwin Cook,Reserve,17.283333333333335,5,9.0,0.556,0,2.0,0.0,2,2,1.0,0.0,0.0,0.0,1.0,,,,3.0,12,
1980-10-10T00:00:00,Detroit Pistons,John Long,Starter,31.516666666666666,6,14.0,0.429,0,1.0,0.0,4,6,0.667,,,5.0,2.0,,,,4.0,16,
