date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1984-10-26T00:00:00,Cleveland Cavaliers,Campy Russell,Reserve,5.083333333333333,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,
1984-10-26T00:00:00,Seattle SuperSonics,Al Wood,Starter,28.466666666666665,9,15,0.6,0,0,,3,4,0.75,4,3,7,3,2,0,4,4,21,
1984-10-26T00:00:00,Seattle SuperSonics,Tom Chambers,Starter,26.43333333333333,5,14,0.35700000000000004,0,1,0.0,1,1,1.0,3,4,7,6,1,0,4,5,11,
1984-10-26T00:00:00,Seattle SuperSonics,Scooter McCray,Reserve,23.38333333333333,1,2,0.5,0,0,,0,0,,0,4,4,0,0,2,2,3,2,
1984-10-26T00:00:00,Seattle SuperSonics,Jon Sundvold,Reserve,22.36666666666667,3,9,0.33299999999999996,0,0,,6,6,1.0,1,1,2,2,0,0,1,5,12,
1984-10-26T00:00:00,Seattle SuperSonics,Frank Brickowski,Reserve,14.233333333333333,5,6,0.833,0,0,,6,7,0.857,1,3,4,2,0,0,1,1,16,
1984-10-26T00:00:00,Cleveland Cavaliers,Melvin Turpin,Starter,39.65,6,16,0.375,0,0,,1,1,1.0,5,5,10,2,0,1,1,3,13,
1984-10-26T00:00:00,Cleveland Cavaliers,John Bagley,Starter,31.516666666666666,4,8,0.5,0,0,,3,5,0.6,0,2,2,8,1,0,3,3,11,
1984-10-26T00:00:00,Cleveland Cavaliers,Jeff Cook,Starter,30.5,5,11,0.455,0,0,,2,2,1.0,4,3,7,3,0,0,2,5,12,
1984-10-26T00:00:00,Cleveland Cavaliers,World B. Free,Starter,19.316666666666666,3,8,0.375,0,0,,0,0,,1,3,4,1,1,0,0,0,6,
1984-10-26T00:00:00,Cleveland Cavaliers,Johnny Davis,Reserve,31.516666666666666,4,14,0.28600000000000003,0,1,0.0,7,8,0.875,2,1,3,3,1,0,2,1,15,
1984-10-26T00:00:00,Cleveland Cavaliers,Phil Hubbard,Reserve,19.316666666666666,4,8,0.5,0,0,,3,4,0.75,3,5,8,2,0,1,2,4,11,
1984-10-26T00:00:00,Cleveland Cavaliers,Ben Poquette,Reserve,16.266666666666666,3,6,0.5,0,0,,0,0,,1,2,3,1,0,0,2,5,6,
1984-10-26T00:00:00,Cleveland Cavaliers,Robert Smith,Reserve,10.166666666666666,0,3,0.0,0,1,0.0,0,0,,0,3,3,1,0,0,1,1,0,
1984-10-26T00:00:00,Seattle SuperSonics,Ricky Sobers,Reserve,14.233333333333333,0,5,0.0,0,0,,0,0,,0,1,1,2,1,0,0,2,0,
1984-10-26T00:00:00,Seattle SuperSonics,Cory Blackwell,Reserve,4.066666666666666,0,2,0.0,0,0,,0,0,,1,1,2,0,0,0,1,1,0,
1984-10-26T00:00:00,Seattle SuperSonics,Tim McCormick,Reserve,3.05,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,3,0,
1984-10-26T00:00:00,Seattle SuperSonics,Danny Young,Reserve,2.033333333333333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,
1984-10-26T00:00:00,Golden State Warriors,Sleepy Floyd,Starter,33.55,11,19,0.579,1,3,0.33299999999999996,5,6,0.833,1,1,2,2,0,1,2,3,28,
1984-10-26T00:00:00,Philadelphia 76ers,Moses Malone,Starter,35.583333333333336,8,18,0.444,0,0,,10,12,0.833,8,11,19,0,0,2,1,2,26,
1984-10-26T00:00:00,Philadelphia 76ers,Maurice Cheeks,Starter,35.583333333333336,9,13,0.6920000000000001,0,0,,1,2,0.5,0,3,3,9,2,1,1,5,19,
1984-10-26T00:00:00,Philadelphia 76ers,Julius Erving,Starter,34.56666666666667,4,14,0.28600000000000003,0,0,,4,5,0.8,1,3,4,3,2,0,3,5,12,
1984-10-26T00:00:00,Seattle SuperSonics,Gerald Henderson,Starter,30.5,0,7,0.0,0,0,,0,0,,0,1,1,5,2,0,2,5,0,
1984-10-26T00:00:00,Seattle SuperSonics,Jack Sikma,Starter,35.583333333333336,4,14,0.28600000000000003,0,0,,8,9,0.889,4,13,17,5,0,1,2,4,16,
1984-10-26T00:00:00,Seattle SuperSonics,Danny Vranes,Starter,39.65,9,13,0.6920000000000001,0,0,,6,7,0.857,3,3,6,3,6,1,6,5,24,
1984-10-26T00:00:00,Utah Jazz,Billy Paultz,Reserve,5.083333333333333,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,1,2,1,
1984-10-26T00:00:00,Boston Celtics,M.L. Carr,Reserve,5.083333333333333,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,0,0,2,
1984-10-26T00:00:00,Detroit Pistons,Isiah Thomas,Starter,42.7,13,32,0.406,3,5,0.6,6,6,1.0,3,3,6,11,2,0,2,3,35,
1984-10-26T00:00:00,Utah Jazz,Darrell Griffith,Starter,42.7,8,19,0.42100000000000004,0,3,0.0,5,5,1.0,0,3,3,0,2,0,3,3,21,
1984-10-26T00:00:00,Detroit Pistons,Kelly Tripucka,Starter,38.63333333333333,6,13,0.462,0,0,,10,10,1.0,1,1,2,5,2,0,1,3,22,
1984-10-26T00:00:00,Detroit Pistons,Dan Roundfield,Starter,38.63333333333333,5,17,0.294,0,0,,1,1,1.0,4,7,11,3,0,0,2,1,11,
1984-10-26T00:00:00,Detroit Pistons,Bill Laimbeer,Starter,35.583333333333336,9,18,0.5,1,3,0.33299999999999996,5,8,0.625,5,8,13,2,1,0,0,3,24,
1984-10-26T00:00:00,Detroit Pistons,Terry Tyler,Starter,27.45,4,7,0.5710000000000001,0,0,,0,0,,2,5,7,1,0,1,1,2,8,
1984-10-26T00:00:00,Detroit Pistons,Vinnie Johnson,Reserve,27.45,6,15,0.4,0,0,,0,0,,3,0,3,0,0,0,2,4,12,
1984-10-26T00:00:00,Detroit Pistons,Earl Cureton,Reserve,13.216666666666667,0,2,0.0,0,0,,0,0,,2,1,3,1,0,0,0,3,0,
1984-10-26T00:00:00,Detroit Pistons,Kent Benson,Reserve,10.166666666666666,2,3,0.667,0,0,,1,1,1.0,0,3,3,0,1,0,0,3,5,
1984-10-26T00:00:00,Philadelphia 76ers,Andrew Toney,Starter,29.48333333333333,8,16,0.5,0,0,,3,4,0.75,0,2,2,4,1,2,1,2,19,
1984-10-26T00:00:00,Detroit Pistons,Sidney Lowe,Reserve,6.1,2,3,0.667,0,0,,0,0,,0,1,1,2,0,0,1,2,4,
1984-10-26T00:00:00,Utah Jazz,Thurl Bailey,Starter,33.55,3,12,0.25,0,0,,2,2,1.0,0,3,3,1,2,0,3,2,8,
1984-10-26T00:00:00,Utah Jazz,Mark Eaton,Starter,30.5,0,2,0.0,0,0,,5,6,0.833,2,4,6,1,0,8,3,6,5,
1984-10-26T00:00:00,Utah Jazz,John Drew,Starter,19.316666666666666,1,10,0.1,0,0,,3,4,0.75,1,6,7,0,0,1,5,4,5,
1984-10-26T00:00:00,Utah Jazz,Jeff Wilkins,Reserve,23.38333333333333,7,16,0.43799999999999994,0,0,,3,6,0.5,3,0,3,1,1,0,0,2,17,
1984-10-26T00:00:00,Utah Jazz,John Stockton,Reserve,17.283333333333335,1,2,0.5,0,1,0.0,2,2,1.0,0,2,2,5,2,0,2,1,4,
1984-10-26T00:00:00,Utah Jazz,Rich Kelley,Reserve,15.25,1,1,1.0,0,0,,5,6,0.833,1,0,1,0,5,0,0,2,7,
1984-10-26T00:00:00,Utah Jazz,J.J. Anderson,Reserve,14.233333333333333,0,3,0.0,0,0,,1,4,0.25,1,2,3,0,0,0,3,5,1,
1984-10-26T00:00:00,Utah Jazz,Bob Hansen,Reserve,8.133333333333333,2,3,0.667,0,0,,1,1,1.0,0,0,0,1,0,0,0,0,5,
1984-10-26T00:00:00,Cleveland Cavaliers,Ron Anderson,Starter,40.66666666666666,10,14,0.7140000000000001,0,0,,7,9,0.778,2,3,5,5,1,0,4,3,27,
1984-10-26T00:00:00,Detroit Pistons,Tony Campbell,Reserve,4.066666666666666,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,
1984-10-26T00:00:00,Utah Jazz,Rickey Green,Starter,34.56666666666667,5,8,0.625,0,0,,10,11,0.909,1,2,3,3,3,0,5,2,20,
1984-10-26T00:00:00,Boston Celtics,Greg Kite,Reserve,6.1,1,3,0.33299999999999996,0,0,,0,0,,3,0,3,0,0,0,0,2,2,
1984-10-26T00:00:00,Philadelphia 76ers,Marc Iavaroni,Starter,13.216666666666667,2,2,1.0,0,0,,0,0,,3,1,4,1,0,0,0,2,4,
1984-10-26T00:00:00,Philadelphia 76ers,Bobby Jones,Reserve,22.36666666666667,2,5,0.4,0,0,,1,2,0.5,0,4,4,0,0,4,0,3,5,
1984-10-26T00:00:00,Golden State Warriors,Peter Thibeaux,Reserve,7.116666666666666,1,2,0.5,0,0,,0,2,0.0,0,0,0,0,0,1,0,0,2,
1984-10-26T00:00:00,Golden State Warriors,Chuck Aleksinas,Reserve,13.216666666666667,3,5,0.6,0,0,,1,1,1.0,0,4,4,2,0,1,1,5,7,
1984-10-26T00:00:00,New Jersey Nets,George Johnson,Reserve,2.033333333333333,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
1984-10-26T00:00:00,New Jersey Nets,Kelvin Ransey,Reserve,2.033333333333333,2,2,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,5,
1984-10-26T00:00:00,New Jersey Nets,Jeff Turner,Reserve,8.133333333333333,1,2,0.5,0,0,,3,3,1.0,0,1,1,1,0,0,2,1,5,
1984-10-26T00:00:00,New Jersey Nets,Wayne Sappleton,Reserve,12.2,1,3,0.33299999999999996,0,0,,0,0,,1,3,4,1,1,0,0,3,2,
1984-10-26T00:00:00,New Jersey Nets,Michael Wilson,Reserve,19.316666666666666,4,5,0.8,0,0,,0,0,,1,1,2,2,1,0,0,1,8,
1984-10-26T00:00:00,Atlanta Hawks,Leo Rautins,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
1984-10-26T00:00:00,New Jersey Nets,Buck Williams,Starter,36.6,6,10,0.6,0,0,,6,9,0.667,5,5,10,4,1,1,5,3,18,
1984-10-26T00:00:00,New Jersey Nets,Micheal Ray Richardson,Starter,36.6,5,14,0.35700000000000004,1,2,0.5,4,4,1.0,2,2,4,8,2,0,1,4,15,
1984-10-26T00:00:00,New Jersey Nets,Otis Birdsong,Starter,31.516666666666666,7,19,0.368,0,0,,1,2,0.5,0,0,0,5,2,0,0,0,15,
1984-10-26T00:00:00,New Jersey Nets,Mike O'Koren,Starter,28.466666666666665,3,9,0.33299999999999996,0,0,,1,2,0.5,0,4,4,1,1,0,2,3,7,
1984-10-26T00:00:00,New Jersey Nets,Darryl Dawkins,Starter,26.43333333333333,5,8,0.625,0,0,,4,4,1.0,0,3,3,1,0,0,6,0,14,
