date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1991-11-01T00:00:00,Golden State Warriors,Chris Mullin,Starter,38.63333333333333,8,18,0.444,0,3,0.0,0,2,0.0,2,2,4,2,2,0,1,2,16,
1991-11-01T00:00:00,Chicago Bulls,Mark Randall,Reserve,5.083333333333333,0,2,0.0,0,0,,0,0,,0,1,1,1,0,0,1,0,0,
1991-11-01T00:00:00,Dallas Mavericks,Rodney McCray,Starter,30.5,4,9,0.444,0,1,0.0,2,4,0.5,2,3,5,0,0,1,2,2,10,
1991-11-01T00:00:00,Phoenix Suns,Dan Majerle,Starter,44.73333333333333,11,25,0.44,1,2,0.5,3,8,0.375,2,5,7,5,3,0,1,2,26,
1991-11-01T00:00:00,Phoenix Suns,Jeff Hornacek,Starter,33.55,12,19,0.632,1,2,0.5,7,8,0.875,0,4,4,4,1,1,2,4,32,
1991-11-01T00:00:00,Orlando Magic,Scott Skiles,Starter,40.66666666666666,5,16,0.313,0,3,0.0,7,8,0.875,0,3,3,12,0,0,3,3,17,
1991-11-01T00:00:00,Orlando Magic,Nick Anderson,Starter,37.61666666666667,10,15,0.667,0,0,,2,3,0.667,0,8,8,3,1,1,5,3,22,
1991-11-01T00:00:00,Orlando Magic,Terry Catledge,Starter,27.45,5,11,0.455,0,0,,0,0,,4,7,11,2,0,0,0,2,10,
1991-11-01T00:00:00,Orlando Magic,Dennis Scott,Starter,24.4,6,13,0.462,0,1,0.0,4,4,1.0,0,0,0,0,0,0,1,2,16,
1991-11-01T00:00:00,Orlando Magic,Greg Kite,Starter,24.4,3,7,0.429,0,0,,2,2,1.0,6,3,9,0,0,1,0,5,8,
1991-11-01T00:00:00,Orlando Magic,Jerry Reynolds,Reserve,24.4,3,9,0.33299999999999996,0,0,,5,6,0.833,1,2,3,3,2,1,3,1,11,
1991-11-01T00:00:00,Orlando Magic,Mark Acres,Reserve,23.38333333333333,5,5,1.0,0,0,,2,3,0.667,1,3,4,0,0,2,1,3,12,
1991-11-01T00:00:00,Orlando Magic,Jeff Turner,Reserve,22.36666666666667,3,4,0.75,0,0,,0,0,,3,1,4,1,0,1,2,4,6,
1991-11-01T00:00:00,Chicago Bulls,Dennis Hopson,Reserve,5.083333333333333,1,2,0.5,0,0,,0,0,,0,0,0,0,1,0,0,1,2,
1991-11-01T00:00:00,Orlando Magic,Otis Smith,Reserve,11.183333333333335,1,3,0.33299999999999996,0,0,,0,0,,1,0,1,0,1,0,0,0,2,
1991-11-01T00:00:00,Cleveland Cavaliers,Larry Nance,Starter,33.55,10,17,0.588,0,0,,1,1,1.0,3,5,8,0,0,4,3,5,21,
1991-11-01T00:00:00,Cleveland Cavaliers,Terrell Brandon,Starter,30.5,6,15,0.4,0,1,0.0,3,3,1.0,1,2,3,6,3,0,2,3,15,
1991-11-01T00:00:00,Cleveland Cavaliers,Hot Rod Williams,Starter,22.36666666666667,4,7,0.5710000000000001,0,0,,0,0,,2,1,3,3,0,0,1,2,8,
1991-11-01T00:00:00,Cleveland Cavaliers,Danny Ferry,Reserve,24.4,4,10,0.4,0,1,0.0,2,2,1.0,0,1,1,0,0,0,1,3,10,
1991-11-01T00:00:00,Cleveland Cavaliers,John Morton,Reserve,18.3,1,6,0.16699999999999998,0,1,0.0,3,3,1.0,1,1,2,1,1,0,2,2,5,
1991-11-01T00:00:00,Cleveland Cavaliers,Henry James,Reserve,14.233333333333333,1,3,0.33299999999999996,0,1,0.0,0,0,,0,2,2,1,0,0,0,4,2,
1991-11-01T00:00:00,Cleveland Cavaliers,Chucky Brown,Reserve,12.2,1,1,1.0,0,0,,1,2,0.5,1,2,3,0,0,0,2,1,3,
1991-11-01T00:00:00,Cleveland Cavaliers,Jimmy Oliver,Reserve,7.116666666666666,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,0,0,0,1,4,
1991-11-01T00:00:00,Los Angeles Clippers,Gary Grant,Starter,29.48333333333333,8,11,0.727,0,1,0.0,2,3,0.667,3,0,3,8,1,1,3,5,18,
1991-11-01T00:00:00,Los Angeles Clippers,Olden Polynice,Starter,24.4,3,6,0.5,0,0,,0,3,0.0,2,4,6,0,1,0,0,1,6,
1991-11-01T00:00:00,Los Angeles Clippers,James Edwards,Reserve,24.4,6,9,0.667,0,0,,1,2,0.5,2,4,6,4,1,0,2,4,13,
1991-11-01T00:00:00,Los Angeles Clippers,Ken Norman,Reserve,21.35,3,10,0.3,0,1,0.0,0,0,,1,1,2,2,1,0,2,1,6,
1991-11-01T00:00:00,Cleveland Cavaliers,Craig Ehlo,Starter,35.583333333333336,6,12,0.5,3,6,0.5,0,0,,2,2,4,8,1,0,2,2,15,
