date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1990-11-02T00:00:00,Golden State Warriors,Chris Mullin,Starter,41.68333333333333,16,25,0.64,0,2,0.0,6,8,0.75,1,8,9,5,5,1,4,2,38,
1990-11-02T00:00:00,Detroit Pistons,Lance Blanks,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
1990-11-02T00:00:00,Detroit Pistons,William Bedford,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
1990-11-02T00:00:00,Dallas Mavericks,Roy Tarpley,Starter,40.66666666666666,6,17,0.353,0,1,0.0,4,6,0.667,7,8,15,2,1,0,2,5,16,
1990-11-02T00:00:00,Houston Rockets,Kenny Smith,Starter,37.61666666666667,8,13,0.615,0,2,0.0,4,4,1.0,2,6,8,6,0,0,7,4,20,
1990-11-02T00:00:00,Indiana Pacers,Micheal Williams,Reserve,16.266666666666666,0,4,0.0,0,0,,2,2,1.0,1,1,2,1,1,1,2,3,2,
1990-11-02T00:00:00,Indiana Pacers,George McCloud,Reserve,8.133333333333333,0,3,0.0,0,0,,0,0,,0,0,0,1,1,0,1,3,0,
1990-11-02T00:00:00,Indiana Pacers,Randy Wittman,Reserve,6.1,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
1990-11-02T00:00:00,Indiana Pacers,Greg Dreiling,Reserve,4.066666666666666,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,2,2,
1990-11-02T00:00:00,Indiana Pacers,Kenny Williams,Reserve,2.033333333333333,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,1,1,0,
1990-11-02T00:00:00,Phoenix Suns,Kevin Johnson,Starter,40.66666666666666,12,18,0.667,0,1,0.0,5,5,1.0,0,1,1,10,3,0,4,4,29,
1990-11-02T00:00:00,Washington Bullets,Bernard King,Starter,35.583333333333336,7,19,0.368,0,0,,4,6,0.667,2,1,3,10,0,1,4,2,18,
1990-11-02T00:00:00,Washington Bullets,Charles Jones,Starter,30.5,2,4,0.5,0,0,,0,0,,4,6,10,2,2,3,1,5,4,
1990-11-02T00:00:00,Washington Bullets,Larry Robinson,Starter,23.38333333333333,6,14,0.429,0,0,,1,2,0.5,0,3,3,1,0,0,2,4,13,
1990-11-02T00:00:00,Detroit Pistons,Scott Hastings,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
1990-11-02T00:00:00,Washington Bullets,Haywoode Workman,Starter,22.36666666666667,4,8,0.5,0,0,,1,2,0.5,1,1,2,3,1,0,3,4,9,
1990-11-02T00:00:00,Washington Bullets,Mark Alarie,Reserve,24.4,5,12,0.41700000000000004,0,0,,2,2,1.0,3,3,6,2,0,0,2,1,12,
1990-11-02T00:00:00,Washington Bullets,Darrell Walker,Reserve,23.38333333333333,0,2,0.0,0,0,,1,2,0.5,1,7,8,4,3,0,2,2,1,
1990-11-02T00:00:00,Washington Bullets,Greg Foster,Reserve,16.266666666666666,2,4,0.5,0,0,,2,5,0.4,2,2,4,0,1,0,4,6,6,
