date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1999-11-02T00:00:00,Seattle SuperSonics,Gary Payton,Starter,42.7,9,20,0.45,1,5,0.2,3,7,0.429,1,5,6,13,3,0,2,3,22,6.0
1999-11-02T00:00:00,Los Angeles Lakers,Tyronn Lue,Reserve,8.133333333333333,0,1,0.0,0,1,0.0,0,0,,0,0,0,3,0,0,0,0,0,-8.0
1999-11-02T00:00:00,Los Angeles Lakers,Travis Knight,Reserve,1.0166666666666666,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-4.0
1999-11-02T00:00:00,Golden State Warriors,Chris Mills,Starter,34.56666666666667,6,12,0.5,2,4,0.5,4,4,1.0,1,6,7,1,1,0,3,4,18,-10.0
1999-11-02T00:00:00,Golden State Warriors,Antawn Jamison,Starter,31.516666666666666,3,13,0.231,0,0,,3,4,0.75,4,3,7,1,0,0,5,4,9,-20.0
1999-11-02T00:00:00,Golden State Warriors,Tony Farmer,Starter,15.25,3,5,0.6,0,1,0.0,3,4,0.75,2,2,4,1,0,0,1,2,9,-2.0
1999-11-02T00:00:00,Golden State Warriors,Adonal Foyle,Starter,13.216666666666667,1,3,0.33299999999999996,0,0,,0,0,,0,3,3,0,0,1,4,2,2,-5.0
1999-11-02T00:00:00,Golden State Warriors,John Starks,Reserve,35.583333333333336,8,14,0.5710000000000001,3,5,0.6,1,2,0.5,0,4,4,4,1,0,3,3,20,-5.0
1999-11-02T00:00:00,Golden State Warriors,Terry Cummings,Reserve,21.35,3,8,0.375,0,0,,4,6,0.667,6,2,8,0,1,0,0,4,10,6.0
1999-11-02T00:00:00,Golden State Warriors,Donyell Marshall,Reserve,20.33333333333333,3,9,0.33299999999999996,0,3,0.0,0,0,,3,6,9,1,0,0,2,1,6,-7.0
1999-11-02T00:00:00,Golden State Warriors,Jason Caffey,Reserve,15.25,3,6,0.5,0,0,,3,3,1.0,1,1,2,0,0,0,0,4,9,0.0
1999-11-02T00:00:00,Golden State Warriors,Damon Jones,Reserve,10.166666666666666,0,0,,0,0,,0,0,,0,1,1,2,0,0,3,1,0,-3.0
1999-11-02T00:00:00,Portland Trail Blazers,Steve Smith,Starter,29.48333333333333,9,13,0.6920000000000001,1,2,0.5,3,4,0.75,3,3,6,1,2,1,1,2,22,7.0
1999-11-02T00:00:00,Portland Trail Blazers,Rasheed Wallace,Starter,26.43333333333333,4,9,0.444,0,1,0.0,0,0,,3,4,7,1,2,0,2,3,8,13.0
1999-11-02T00:00:00,Portland Trail Blazers,Damon Stoudamire,Starter,25.41666666666667,3,10,0.3,1,4,0.25,0,0,,0,1,1,8,0,0,0,3,7,2.0
1999-11-02T00:00:00,Portland Trail Blazers,Arvydas Sabonis,Starter,17.283333333333335,2,7,0.28600000000000003,0,0,,0,1,0.0,0,4,4,1,0,0,0,3,4,1.0
1999-11-02T00:00:00,Portland Trail Blazers,Detlef Schrempf,Reserve,25.41666666666667,6,7,0.857,0,0,,1,2,0.5,0,2,2,3,0,0,1,4,13,22.0
1999-11-02T00:00:00,Portland Trail Blazers,Greg Anthony,Reserve,22.36666666666667,3,4,0.75,1,2,0.5,0,0,,0,2,2,8,1,0,1,2,7,18.0
1999-11-02T00:00:00,San Antonio Spurs,Steve Kerr,Reserve,6.1,1,2,0.5,1,1,1.0,2,2,1.0,0,1,1,0,0,0,0,1,5,1.0
1999-11-02T00:00:00,San Antonio Spurs,Samaki Walker,Reserve,15.25,1,2,0.5,0,0,,1,2,0.5,0,1,1,1,0,1,1,0,3,-1.0
1999-11-02T00:00:00,Atlanta Hawks,Cal Bowdler,Reserve,6.1,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-3.0
1999-11-02T00:00:00,Atlanta Hawks,Jason Terry,Reserve,10.166666666666666,1,3,0.33299999999999996,1,2,0.5,2,2,1.0,0,1,1,1,2,0,2,3,5,-2.0
1999-11-02T00:00:00,Atlanta Hawks,Lorenzen Wright,Reserve,13.216666666666667,1,3,0.33299999999999996,0,0,,0,2,0.0,0,3,3,0,0,0,0,2,2,-10.0
1999-11-02T00:00:00,Atlanta Hawks,Anthony Johnson,Reserve,14.233333333333333,3,5,0.6,0,0,,0,0,,1,1,2,1,0,0,2,4,6,-6.0
1999-11-02T00:00:00,Los Angeles Lakers,Brian Shaw,Reserve,10.166666666666666,1,4,0.25,0,0,,1,2,0.5,0,0,0,1,1,1,1,1,3,-1.0
1999-11-02T00:00:00,Atlanta Hawks,Chris Crawford,Reserve,14.233333333333333,2,5,0.4,0,0,,0,0,,2,1,3,0,0,0,1,1,4,-5.0
1999-11-02T00:00:00,Atlanta Hawks,Alan Henderson,Starter,35.583333333333336,4,9,0.444,0,0,,0,0,,5,7,12,0,0,0,2,2,8,1.0
1999-11-02T00:00:00,Atlanta Hawks,Roshown McLeod,Starter,37.61666666666667,8,16,0.5,1,1,1.0,5,6,0.833,0,5,5,2,2,0,0,4,22,-3.0
1999-11-02T00:00:00,Atlanta Hawks,Dikembe Mutombo,Starter,37.61666666666667,2,7,0.28600000000000003,0,0,,8,12,0.667,4,8,12,2,0,5,3,2,12,-1.0
1999-11-02T00:00:00,Portland Trail Blazers,Jermaine O'Neal,Reserve,13.216666666666667,1,3,0.33299999999999996,0,0,,3,4,0.75,0,4,4,0,0,0,1,6,5,3.0
1999-11-02T00:00:00,Portland Trail Blazers,Bonzi Wells,Reserve,18.3,4,8,0.5,0,0,,1,2,0.5,2,0,2,3,1,0,0,1,9,13.0
1999-11-02T00:00:00,Portland Trail Blazers,Antonio Harvey,Reserve,21.35,4,7,0.5710000000000001,0,0,,1,1,1.0,1,5,6,1,1,2,2,2,9,16.0
1999-11-02T00:00:00,Atlanta Hawks,Bimbo Coles,Starter,32.53333333333333,4,14,0.28600000000000003,0,1,0.0,1,1,1.0,0,3,3,5,1,0,6,3,9,-9.0
1999-11-02T00:00:00,San Antonio Spurs,Jerome Kersey,Reserve,6.1,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0.0
1999-11-02T00:00:00,Los Angeles Lakers,John Salley,Reserve,14.233333333333333,3,5,0.6,0,0,,0,0,,1,3,4,0,1,1,2,4,6,-10.0
1999-11-02T00:00:00,Los Angeles Lakers,A.C. Green,Starter,32.53333333333333,1,5,0.2,0,0,,0,0,,3,3,6,2,1,0,0,3,2,9.0
1999-11-02T00:00:00,Atlanta Hawks,Jim Jackson,Starter,38.63333333333333,5,15,0.33299999999999996,0,2,0.0,7,7,1.0,4,5,9,3,0,0,6,1,17,3.0
1999-11-02T00:00:00,Philadelphia 76ers,Jumaine Jones,Reserve,2.033333333333333,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,5.0
1999-11-02T00:00:00,San Antonio Spurs,Avery Johnson,Starter,32.53333333333333,5,9,0.556,0,0,,2,2,1.0,1,1,2,8,1,0,4,4,12,18.0
1999-11-02T00:00:00,San Antonio Spurs,David Robinson,Starter,30.5,3,9,0.33299999999999996,0,0,,4,7,0.5710000000000001,3,7,10,4,1,6,4,4,10,20.0
1999-11-02T00:00:00,San Antonio Spurs,Mario Elie,Starter,29.48333333333333,4,8,0.5,1,1,1.0,0,0,,0,5,5,2,2,0,1,2,9,12.0
1999-11-02T00:00:00,San Antonio Spurs,Tim Duncan,Starter,28.466666666666665,8,16,0.5,0,0,,4,6,0.667,5,11,16,0,0,3,3,2,20,-5.0
1999-11-02T00:00:00,San Antonio Spurs,Chucky Brown,Starter,19.316666666666666,0,4,0.0,0,0,,2,2,1.0,0,1,1,1,0,1,1,1,2,-9.0
1999-11-02T00:00:00,San Antonio Spurs,Jaren Jackson,Reserve,26.43333333333333,1,6,0.16699999999999998,1,3,0.33299999999999996,0,1,0.0,3,2,5,0,0,0,3,2,3,5.0
1999-11-02T00:00:00,San Antonio Spurs,Malik Rose,Reserve,20.33333333333333,3,6,0.5,0,0,,2,3,0.667,3,2,5,1,0,1,2,3,8,12.0
1999-11-02T00:00:00,San Antonio Spurs,Terry Porter,Reserve,20.33333333333333,4,8,0.5,3,5,0.6,4,4,1.0,0,3,3,5,0,0,0,2,15,18.0
1999-11-02T00:00:00,Cleveland Cavaliers,Brevin Knight,Starter,35.583333333333336,6,11,0.545,1,2,0.5,1,1,1.0,1,5,6,4,1,0,6,4,14,-6.0
1999-11-02T00:00:00,Cleveland Cavaliers,Shawn Kemp,Starter,31.516666666666666,6,20,0.3,0,0,,5,8,0.625,0,5,5,0,0,1,2,4,17,2.0
1999-11-02T00:00:00,Cleveland Cavaliers,Andrew DeClercq,Starter,26.43333333333333,4,12,0.33299999999999996,0,0,,2,2,1.0,3,4,7,0,3,0,3,4,10,-5.0
1999-11-02T00:00:00,Cleveland Cavaliers,Cedric Henderson,Starter,19.316666666666666,0,1,0.0,0,0,,0,0,,0,2,2,3,1,1,1,4,0,-17.0
1999-11-02T00:00:00,Cleveland Cavaliers,Wesley Person,Reserve,33.55,5,9,0.556,3,4,0.75,3,4,0.75,0,4,4,1,0,0,1,2,16,8.0
1999-11-02T00:00:00,Cleveland Cavaliers,Danny Ferry,Reserve,22.36666666666667,2,7,0.28600000000000003,0,1,0.0,1,2,0.5,1,4,5,1,0,0,0,1,5,7.0
1999-11-02T00:00:00,Cleveland Cavaliers,Mark Bryant,Reserve,14.233333333333333,1,3,0.33299999999999996,0,0,,1,2,0.5,2,1,3,1,0,0,2,2,3,-24.0
1999-11-02T00:00:00,Los Angeles Lakers,Shaquille O'Neal,Starter,34.56666666666667,9,20,0.45,0,0,,5,11,0.455,5,8,13,1,1,2,2,4,23,16.0
1999-11-02T00:00:00,Utah Jazz,Jacque Vaughn,Reserve,0.0,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,0.0
1999-11-02T00:00:00,Los Angeles Lakers,Derek Fisher,Starter,39.65,5,11,0.455,2,4,0.5,0,0,,0,3,3,7,1,0,2,5,12,13.0
1999-11-02T00:00:00,Boston Celtics,Tony Battie,Reserve,10.166666666666666,1,3,0.33299999999999996,0,0,,0,0,,1,1,2,1,0,0,0,4,2,10.0
1999-11-02T00:00:00,Boston Celtics,Pervis Ellison,Reserve,14.233333333333333,2,4,0.5,0,0,,0,0,,0,2,2,0,0,1,0,4,4,12.0
1999-11-02T00:00:00,Boston Celtics,Walter McCarty,Reserve,17.283333333333335,6,7,0.857,6,6,1.0,2,2,1.0,1,1,2,0,2,0,3,0,20,2.0
