date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1988-11-04T00:00:00,Detroit Pistons,Isiah Thomas,Starter,39.65,3,6,0.5,0,1,0.0,7,8,0.875,0,2,2,14,2,0,4,3,13,
1988-11-04T00:00:00,New Jersey Nets,Chris Morris,Reserve,13.216666666666667,3,9,0.33299999999999996,0,1,0.0,0,1,0.0,2,0,2,1,1,0,2,6,6,
1988-11-04T00:00:00,New Jersey Nets,Kevin Williams,Reserve,10.166666666666666,3,4,0.75,0,0,,0,0,,0,1,1,0,2,0,0,1,6,
1988-11-04T00:00:00,New Jersey Nets,Keith Lee,Reserve,8.133333333333333,0,2,0.0,0,0,,0,2,0.0,0,1,1,0,0,3,1,3,0,
1988-11-04T00:00:00,New York Knicks,Charles Oakley,Starter,41.68333333333333,5,12,0.41700000000000004,0,0,,1,1,1.0,1,10,11,3,2,1,2,5,11,
1988-11-04T00:00:00,New York Knicks,Gerald Wilkins,Starter,37.61666666666667,7,19,0.368,3,5,0.6,2,2,1.0,5,0,5,2,1,0,0,1,19,
1988-11-04T00:00:00,New York Knicks,Mark Jackson,Starter,37.61666666666667,7,12,0.583,0,0,,2,2,1.0,0,3,3,6,1,0,2,6,16,
1988-11-04T00:00:00,New York Knicks,Patrick Ewing,Starter,33.55,10,20,0.5,0,0,,8,9,0.889,1,6,7,1,0,0,2,6,28,
1988-11-04T00:00:00,New York Knicks,Trent Tucker,Reserve,20.33333333333333,2,4,0.5,1,1,1.0,0,0,,0,1,1,1,0,0,1,1,5,
1988-11-04T00:00:00,New York Knicks,Rod Strickland,Reserve,18.3,2,6,0.33299999999999996,0,0,,1,2,0.5,0,2,2,5,1,0,2,1,5,
1988-11-04T00:00:00,New York Knicks,Kenny Walker,Reserve,15.25,1,4,0.25,0,0,,0,0,,1,3,4,0,0,0,1,0,2,
1988-11-04T00:00:00,New Jersey Nets,Lester Conner,Reserve,15.25,3,3,1.0,0,0,,1,1,1.0,0,2,2,8,1,0,1,1,7,
1988-11-04T00:00:00,New York Knicks,Eddie Lee Wilkins,Reserve,13.216666666666667,4,7,0.5710000000000001,0,0,,2,6,0.33299999999999996,3,1,4,0,0,1,3,3,10,
1988-11-04T00:00:00,Cleveland Cavaliers,Mark Price,Starter,30.5,6,11,0.545,0,0,,1,1,1.0,0,2,2,10,0,0,4,2,13,
1988-11-04T00:00:00,Cleveland Cavaliers,Brad Daugherty,Starter,29.48333333333333,7,13,0.5379999999999999,0,0,,6,8,0.75,0,8,8,4,2,1,6,3,20,
1988-11-04T00:00:00,Cleveland Cavaliers,Larry Nance,Starter,25.41666666666667,6,11,0.545,0,0,,4,6,0.667,1,6,7,1,0,2,0,2,16,
1988-11-04T00:00:00,Cleveland Cavaliers,Mike Sanders,Starter,24.4,4,5,0.8,0,0,,0,0,,2,1,3,3,3,0,0,1,8,
1988-11-04T00:00:00,Cleveland Cavaliers,Craig Ehlo,Reserve,25.41666666666667,5,7,0.7140000000000001,1,1,1.0,1,2,0.5,4,2,6,3,2,0,0,3,12,
1988-11-04T00:00:00,Cleveland Cavaliers,Darnell Valentine,Reserve,23.38333333333333,5,7,0.7140000000000001,0,0,,3,3,1.0,1,2,3,5,3,0,2,1,13,
1988-11-04T00:00:00,Cleveland Cavaliers,Chris Dudley,Reserve,16.266666666666666,2,3,0.667,0,0,,1,4,0.25,3,6,9,1,0,0,2,2,5,
1988-11-04T00:00:00,Cleveland Cavaliers,Randolph Keys,Reserve,12.2,4,6,0.667,0,0,,3,3,1.0,0,0,0,0,0,0,0,3,11,
1988-11-04T00:00:00,Cleveland Cavaliers,Hot Rod Williams,Reserve,12.2,2,3,0.667,0,0,,0,0,,0,4,4,0,0,0,2,4,4,
1988-11-04T00:00:00,Cleveland Cavaliers,Tree Rollins,Reserve,8.133333333333333,3,6,0.5,0,0,,1,1,1.0,2,3,5,1,1,0,3,1,7,
1988-11-04T00:00:00,New York Knicks,Sidney Green,Reserve,10.166666666666666,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,4,0,
1988-11-04T00:00:00,New Jersey Nets,Roy Hinson,Reserve,18.3,5,10,0.5,0,0,,1,2,0.5,3,4,7,0,0,0,2,4,11,
1988-11-04T00:00:00,New Jersey Nets,Buck Williams,Starter,31.516666666666666,6,8,0.75,0,0,,0,0,,7,9,16,2,0,0,1,2,12,
1988-11-04T00:00:00,New Jersey Nets,John Bagley,Starter,33.55,5,12,0.41700000000000004,1,2,0.5,3,4,0.75,2,5,7,9,1,0,3,4,14,
1988-11-04T00:00:00,Portland Trail Blazers,Danny Young,Reserve,10.166666666666666,2,3,0.667,0,0,,1,2,0.5,0,2,2,2,1,0,1,1,5,
