date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1982-10-29T00:00:00,Dallas Mavericks,Mark Aguirre,Starter,33.55,9,16,0.563,0,0.0,,0,0,,,,7,3,,,4.0,6,18,
1982-10-29T00:00:00,San Antonio Spurs,Ed Rains,Reserve,5.083333333333333,0,1,0.0,0,0.0,,0,0,,0.0,0.0,0,0,0.0,0.0,0.0,1,0,
1982-10-29T00:00:00,Utah Jazz,Adrian Dantley,Starter,42.7,11,20,0.55,0,0.0,,13,17,0.765,,,12,4,0.0,0.0,4.0,6,35,
1982-10-29T00:00:00,Utah Jazz,Rickey Green,Starter,40.66666666666666,9,18,0.5,0,0.0,,0,0,,,,2,11,1.0,0.0,2.0,3,18,
1982-10-29T00:00:00,Utah Jazz,Darrell Griffith,Starter,35.583333333333336,10,19,0.526,2,4.0,0.5,1,2,0.5,,,4,4,1.0,1.0,2.0,4,23,
1982-10-29T00:00:00,Philadelphia 76ers,Marc Iavaroni,Starter,10.166666666666666,1,2,0.5,0,0.0,,0,0,,,,1,1,,0.0,,4,2,
1982-10-29T00:00:00,Philadelphia 76ers,Franklin Edwards,Reserve,27.45,1,6,0.16699999999999998,0,0.0,,4,4,1.0,0.0,1.0,1,1,,0.0,,0,6,
1982-10-29T00:00:00,Philadelphia 76ers,Bobby Jones,Reserve,27.45,2,3,0.667,0,0.0,,0,0,,,,5,1,,3.0,,2,4,
1982-10-29T00:00:00,Philadelphia 76ers,Russ Schoene,Reserve,21.35,1,3,0.33299999999999996,0,0.0,,0,0,,,,3,1,,0.0,,5,2,
1982-10-29T00:00:00,Philadelphia 76ers,Earl Cureton,Reserve,6.1,1,2,0.5,0,0.0,,0,1,0.0,,,2,1,,0.0,,1,2,
1982-10-29T00:00:00,Philadelphia 76ers,J.J. Anderson,Reserve,1.0166666666666666,1,2,0.5,0,0.0,,0,0,,0.0,0.0,0,0,,0.0,,1,2,
1982-10-29T00:00:00,San Antonio Spurs,Paul Griffin,Reserve,16.266666666666666,1,1,1.0,0,0.0,,1,2,0.5,,,5,1,0.0,0.0,1.0,2,3,
1982-10-29T00:00:00,New York Knicks,Truck Robinson,Starter,37.61666666666667,7,17,0.41200000000000003,0,0.0,,2,4,0.5,9.0,10.0,19,3,,1.0,,2,16,
1982-10-29T00:00:00,New York Knicks,Ed Sherod,Starter,30.5,1,3,0.33299999999999996,0,0.0,,0,2,0.0,,,5,5,,0.0,,1,2,
